doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,,0.796,0.605,0.526,0.807,0.796,0.862,0.539,0.648,0.87,0.698,0.749,0.635,0.595,0.644,0.783,0.248,0.354,0.758,0.531,0.541,0.849,0.502
2,,0.811,0.617,0.547,0.81,0.758,0.847,0.546,0.641,0.87,0.704,0.767,0.662,0.609,0.655,0.759,0.539,0.414,0.743,0.516,0.558,0.864,0.504
3,,0.788,0.604,0.556,0.816,0.725,0.82,0.561,0.705,0.871,0.704,0.755,0.68,0.63,0.65,0.696,0.67,0.476,0.709,0.512,0.549,0.879,0.526
4,,0.79,0.591,0.58,0.826,0.698,0.808,0.565,0.757,0.86,0.743,0.77,0.685,0.593,0.64,0.675,0.694,0.501,0.699,0.542,0.555,0.897,0.573
5,,0.758,0.585,0.7,0.816,0.686,0.81,0.536,0.772,0.872,0.747,0.744,0.674,0.588,0.639,0.639,0.741,0.542,0.687,0.517,0.563,0.887,0.612
6,,0.748,0.572,0.785,0.815,0.684,0.817,0.509,0.801,0.912,0.782,0.753,0.666,0.564,0.62,0.618,0.718,0.546,0.673,0.528,0.556,0.904,0.619
7,,0.71,0.586,0.836,0.792,0.64,0.821,0.512,0.803,0.93,0.801,0.763,0.641,0.588,0.587,0.612,0.694,0.551,0.666,0.53,0.56,0.901,0.625
8,,0.707,0.574,0.88,0.804,0.643,0.819,0.494,0.739,0.93,0.884,0.728,0.65,0.573,0.582,0.595,0.661,0.56,0.668,0.583,0.523,0.887,0.653
9,,0.708,0.568,0.879,0.805,0.632,0.829,0.473,0.743,0.925,0.911,0.697,0.632,0.577,0.559,0.552,0.673,0.592,0.664,0.602,0.54,0.894,0.672
10,,0.718,0.544,0.875,0.794,0.628,0.796,0.446,0.721,0.917,0.921,0.671,0.648,0.61,0.55,0.52,0.582,0.624,0.656,0.582,0.497,0.895,0.669
11,,0.725,0.555,0.863,0.781,0.582,0.804,0.413,0.727,0.89,0.939,0.675,0.612,0.605,0.545,0.536,0.577,0.681,0.629,0.576,0.517,0.884,0.656
12,,0.712,0.539,0.857,0.757,0.587,0.795,0.423,0.756,0.897,0.926,0.653,0.619,0.653,0.51,0.54,0.596,0.632,0.635,0.583,0.489,0.888,0.646
13,,0.697,0.563,0.842,0.733,0.602,0.789,0.378,0.762,0.861,0.928,0.618,0.607,0.701,0.529,0.54,0.568,0.757,0.643,0.604,0.5,0.878,0.634
14,,0.684,0.611,0.817,0.695,0.584,0.778,0.412,0.742,0.872,0.918,0.601,0.63,0.73,0.589,0.521,0.598,0.819,0.657,0.611,0.497,0.868,0.621
15,,0.694,0.575,0.782,0.704,0.626,0.789,0.363,0.763,0.864,0.909,0.553,0.627,0.807,0.598,0.553,0.644,0.787,0.654,0.617,0.488,0.857,0.602
