doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,,0.784,0.615,0.526,0.796,0.788,0.853,0.502,0.641,0.849,0.671,0.753,0.624,0.583,0.62,0.767,0.283,0.361,0.73,0.501,0.524,0.831,0.507
2,,0.801,0.618,0.539,0.799,0.751,0.848,0.523,0.655,0.852,0.7,0.765,0.643,0.599,0.615,0.743,0.479,0.418,0.723,0.493,0.541,0.862,0.52
3,,0.791,0.61,0.617,0.803,0.723,0.834,0.529,0.698,0.854,0.703,0.746,0.649,0.604,0.622,0.692,0.589,0.462,0.709,0.493,0.531,0.869,0.542
4,,0.785,0.601,0.636,0.814,0.697,0.834,0.519,0.728,0.859,0.727,0.746,0.644,0.571,0.618,0.665,0.618,0.495,0.691,0.491,0.541,0.885,0.58
5,,0.769,0.591,0.681,0.798,0.683,0.829,0.505,0.747,0.868,0.742,0.73,0.642,0.57,0.612,0.628,0.657,0.526,0.682,0.483,0.538,0.882,0.599
6,,0.76,0.574,0.781,0.804,0.672,0.822,0.48,0.761,0.897,0.792,0.725,0.65,0.551,0.596,0.626,0.663,0.542,0.661,0.535,0.534,0.894,0.617
7,,0.718,0.581,0.855,0.8,0.629,0.819,0.491,0.764,0.919,0.809,0.72,0.648,0.56,0.561,0.606,0.681,0.553,0.652,0.523,0.533,0.895,0.652
8,,0.698,0.569,0.859,0.803,0.628,0.814,0.468,0.735,0.915,0.832,0.686,0.635,0.552,0.551,0.577,0.647,0.558,0.636,0.531,0.511,0.885,0.659
9,,0.721,0.572,0.858,0.79,0.617,0.819,0.447,0.734,0.912,0.863,0.688,0.624,0.559,0.536,0.548,0.627,0.586,0.626,0.545,0.516,0.885,0.664
10,,0.708,0.556,0.862,0.779,0.615,0.792,0.419,0.721,0.905,0.918,0.661,0.625,0.602,0.532,0.515,0.614,0.625,0.619,0.55,0.491,0.888,0.66
11,,0.694,0.562,0.852,0.761,0.567,0.805,0.399,0.72,0.879,0.921,0.618,0.604,0.63,0.526,0.518,0.602,0.668,0.616,0.597,0.499,0.886,0.653
12,,0.692,0.549,0.839,0.75,0.574,0.789,0.398,0.739,0.884,0.921,0.602,0.607,0.655,0.502,0.517,0.571,0.643,0.632,0.6,0.474,0.88,0.644
13,,0.691,0.566,0.822,0.722,0.582,0.789,0.369,0.748,0.853,0.925,0.586,0.597,0.705,0.517,0.528,0.587,0.739,0.62,0.602,0.486,0.876,0.627
14,,0.684,0.61,0.808,0.703,0.574,0.776,0.389,0.741,0.859,0.915,0.566,0.619,0.754,0.568,0.528,0.599,0.783,0.626,0.602,0.478,0.868,0.614
15,,0.688,0.586,0.78,0.707,0.606,0.785,0.356,0.73,0.855,0.911,0.534,0.618,0.783,0.58,0.544,0.613,0.783,0.636,0.61,0.48,0.864,0.593
16,,0.683,0.623,0.766,0.725,0.575,0.796,0.374,0.71,0.844,0.894,0.543,0.617,0.793,0.581,0.58,0.634,0.781,0.644,0.604,0.492,0.857,0.586
17,,0.732,0.593,0.749,0.742,0.583,0.804,0.372,0.697,0.848,0.884,0.513,0.625,0.811,0.587,0.615,0.644,0.767,0.651,0.627,0.489,0.853,0.568
18,,0.783,0.597,0.712,0.797,0.604,0.811,0.386,0.666,0.837,0.871,0.543,0.612,0.819,0.611,0.646,0.648,0.757,0.642,0.647,0.548,0.856,0.558
19,,0.792,0.589,0.737,0.808,0.649,0.791,0.406,0.634,0.83,0.861,0.583,0.626,0.846,0.634,0.661,0.643,0.733,0.658,0.651,0.574,0.842,0.548
