doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,,0.98,0.892,0.595,0.971,0.841,1,0.621,0.908,0.964,0.76,0.893,0.78,0.641,0.661,0.992,0.367,0.495,0.816,0.735,0.611,0.871,0.676
2,,0.973,0.916,0.595,0.97,0.813,1,0.602,0.883,0.963,0.78,0.922,0.762,0.675,0.627,0.989,0.708,0.551,0.805,0.764,0.612,0.89,0.699
3,,0.954,0.905,0.704,0.971,0.79,0.999,0.615,0.903,0.966,0.762,0.925,0.775,0.675,0.64,0.939,0.826,0.673,0.786,0.759,0.614,0.911,0.722
4,,0.968,0.896,0.761,0.973,0.756,1,0.588,0.908,0.954,0.776,0.952,0.78,0.667,0.625,0.966,0.888,0.705,0.759,0.787,0.664,0.937,0.768
5,,0.939,0.874,0.889,0.972,0.726,1,0.578,0.9,0.959,0.768,0.919,0.787,0.661,0.61,0.953,0.926,0.772,0.746,0.78,0.69,0.898,0.786
6,,0.933,0.858,0.954,0.97,0.754,1,0.551,0.91,0.963,0.789,0.921,0.809,0.648,0.588,0.948,0.914,0.779,0.711,0.847,0.681,0.965,0.805
7,,0.878,0.858,0.998,0.97,0.682,1,0.569,0.897,0.958,0.823,0.912,0.782,0.716,0.537,0.937,0.919,0.771,0.722,0.825,0.651,0.98,0.85
8,,0.866,0.869,1,0.978,0.657,0.999,0.539,0.865,0.937,0.834,0.886,0.787,0.728,0.547,0.895,0.831,0.8,0.72,0.822,0.61,0.972,0.849
9,,0.87,0.869,1,0.957,0.688,1,0.52,0.872,0.937,0.855,0.883,0.781,0.711,0.523,0.841,0.858,0.829,0.703,0.838,0.615,0.974,0.848
10,,0.862,0.84,1,0.953,0.698,1,0.451,0.847,0.942,0.991,0.852,0.811,0.754,0.559,0.753,0.708,0.861,0.717,0.821,0.549,0.968,0.845
11,,0.86,0.86,0.999,0.945,0.615,1,0.426,0.794,0.934,0.999,0.758,0.752,0.739,0.528,0.765,0.768,0.925,0.717,0.836,0.569,0.973,0.837
12,,0.846,0.832,1,0.925,0.645,1,0.471,0.803,0.957,1,0.744,0.752,0.794,0.463,0.768,0.742,0.842,0.756,0.837,0.533,0.981,0.82
13,,0.85,0.901,1,0.882,0.669,1,0.373,0.806,0.937,1,0.726,0.768,0.843,0.434,0.758,0.718,0.992,0.801,0.815,0.552,0.978,0.808
14,,0.813,0.953,1,0.82,0.679,1,0.424,0.752,0.963,1,0.703,0.835,0.922,0.483,0.724,0.715,0.996,0.819,0.82,0.528,0.983,0.783
15,,0.852,0.953,0.997,0.873,0.71,0.997,0.338,0.775,0.969,0.998,0.608,0.838,0.939,0.494,0.717,0.738,0.985,0.837,0.851,0.527,0.986,0.766
16,,0.858,0.974,0.992,0.886,0.685,1,0.383,0.74,0.954,0.999,0.634,0.83,0.942,0.505,0.668,0.804,0.988,0.84,0.87,0.537,0.989,0.759
17,,0.877,0.944,0.979,0.907,0.679,1,0.392,0.716,0.965,0.999,0.582,0.848,0.98,0.501,0.707,0.797,0.988,0.89,0.879,0.515,0.983,0.749
18,,0.874,0.952,0.973,0.949,0.695,1,0.474,0.695,0.96,1,0.614,0.832,1,0.543,0.703,0.797,0.986,0.868,0.93,0.627,0.983,0.738
19,,0.854,0.955,0.985,0.953,0.744,1,0.665,0.666,0.961,0.998,0.801,0.862,1,0.562,0.658,0.81,0.981,0.883,0.915,0.685,0.982,0.727
20,,0.88,0.919,0.983,0.959,0.785,1,0.466,0.628,0.939,0.998,0.855,0.884,1,0.644,0.698,0.772,0.992,0.868,0.937,0.697,0.982,0.759
21,,0.905,0.901,0.978,0.951,0.816,1,0.56,0.608,0.946,0.997,0.872,0.892,1,0.634,0.669,0.794,0.976,0.865,0.943,0.68,0.981,0.798
22,,0.89,0.798,0.982,0.967,0.82,0.998,0.766,0.637,0.931,0.997,0.865,0.889,1,0.645,0.695,0.794,0.969,0.846,0.955,0.678,0.95,0.833
