doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,,0.826,0.347,0.566,0.874,0.743,0.824,0.496,0.514,0.97,0.704,0.702,0.513,0.581,0.669,0.522,0.095,0.385,0.757,0.417,0.542,0.931,0.351
2,,0.89,0.346,0.559,0.883,0.679,0.806,0.482,0.62,0.978,0.676,0.736,0.58,0.599,0.69,0.502,0.431,0.422,0.71,0.402,0.583,0.934,0.359
3,,0.893,0.333,0.552,0.863,0.664,0.746,0.478,0.713,0.962,0.681,0.702,0.675,0.611,0.685,0.43,0.588,0.382,0.731,0.4,0.567,0.939,0.369
4,,0.831,0.314,0.516,0.873,0.643,0.751,0.488,0.781,0.929,0.703,0.721,0.612,0.548,0.69,0.451,0.605,0.377,0.717,0.418,0.544,0.929,0.383
5,,0.808,0.3,0.535,0.849,0.645,0.745,0.501,0.814,0.97,0.702,0.713,0.58,0.538,0.726,0.408,0.58,0.398,0.718,0.389,0.534,0.921,0.392
6,,0.799,0.285,0.679,0.851,0.646,0.687,0.448,0.867,0.993,0.693,0.698,0.556,0.522,0.692,0.418,0.562,0.413,0.702,0.417,0.538,0.915,0.379
7,,0.768,0.369,0.755,0.838,0.574,0.686,0.485,0.875,0.996,0.706,0.718,0.538,0.536,0.671,0.414,0.59,0.429,0.698,0.379,0.564,0.913,0.397
8,,0.732,0.281,0.739,0.843,0.628,0.698,0.466,0.842,0.995,0.792,0.63,0.52,0.53,0.664,0.405,0.548,0.382,0.686,0.393,0.526,0.898,0.391
9,,0.695,0.276,0.716,0.833,0.584,0.74,0.447,0.835,0.992,0.837,0.632,0.494,0.523,0.655,0.412,0.541,0.413,0.695,0.423,0.575,0.901,0.398
10,,0.7,0.249,0.753,0.805,0.56,0.604,0.447,0.784,0.994,0.851,0.623,0.512,0.533,0.643,0.396,0.53,0.436,0.67,0.381,0.51,0.889,0.389
11,,0.707,0.261,0.737,0.789,0.535,0.656,0.422,0.816,0.965,0.854,0.62,0.477,0.5,0.654,0.406,0.512,0.469,0.632,0.386,0.55,0.906,0.377
12,,0.719,0.25,0.742,0.771,0.507,0.628,0.434,0.85,0.979,0.855,0.63,0.504,0.538,0.616,0.382,0.506,0.449,0.634,0.404,0.517,0.881,0.373
13,,0.711,0.276,0.697,0.725,0.529,0.601,0.367,0.843,0.92,0.873,0.602,0.452,0.586,0.662,0.404,0.474,0.612,0.606,0.41,0.532,0.869,0.362
14,,0.726,0.428,0.649,0.693,0.489,0.562,0.433,0.84,0.935,0.869,0.616,0.459,0.579,0.759,0.427,0.491,0.69,0.596,0.423,0.532,0.848,0.367
15,,0.734,0.237,0.582,0.664,0.628,0.622,0.382,0.839,0.924,0.871,0.586,0.441,0.629,0.76,0.488,0.482,0.623,0.605,0.436,0.511,0.832,0.338
16,,0.716,0.333,0.601,0.677,0.533,0.655,0.388,0.843,0.896,0.842,0.612,0.445,0.656,0.729,0.596,0.479,0.617,0.608,0.406,0.56,0.817,0.339
17,,0.761,0.22,0.601,0.669,0.524,0.623,0.389,0.85,0.925,0.835,0.572,0.466,0.676,0.72,0.62,0.463,0.558,0.624,0.401,0.519,0.819,0.318
18,,0.833,0.228,0.526,0.777,0.583,0.662,0.377,0.818,0.908,0.824,0.59,0.436,0.636,0.744,0.673,0.466,0.53,0.59,0.408,0.556,0.821,0.317
19,,0.854,0.24,0.589,0.817,0.651,0.534,0.374,0.804,0.892,0.807,0.562,0.453,0.733,0.735,0.702,0.457,0.479,0.611,0.416,0.554,0.798,0.309
