doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,,0.919,0.976,0.732,0.933,0.993,0.997,0.761,0.892,0.989,0.947,0.999,0.872,0.802,0.889,0.983,0.58,0.361,0.861,0.848,0.696,0.948,0.671
2,,0.942,0.976,0.784,0.965,0.989,1,0.786,0.9,0.984,0.962,0.997,0.865,0.797,0.857,0.982,0.707,0.662,0.867,0.919,0.719,0.954,0.667
3,,0.863,0.977,0.764,0.97,0.926,0.999,0.768,0.89,0.989,0.938,0.992,0.845,0.826,0.843,0.976,0.772,0.961,0.848,0.915,0.708,0.961,0.686
4,,0.988,0.982,0.89,0.992,0.884,1,0.766,0.897,0.996,0.972,0.997,0.919,0.805,0.822,0.859,0.83,0.978,0.849,0.91,0.688,0.952,0.73
5,,0.985,0.998,0.938,0.975,0.858,0.998,0.725,0.886,0.995,0.972,0.994,0.866,0.806,0.792,0.851,0.829,0.981,0.794,0.933,0.693,0.961,0.77
6,,0.976,0.976,0.952,0.964,0.851,0.999,0.742,0.903,1,0.987,0.988,0.892,0.817,0.808,0.837,0.818,0.984,0.787,0.959,0.659,0.972,0.856
7,,0.967,0.97,0.956,0.967,0.823,0.998,0.714,0.932,0.999,0.989,0.944,0.871,0.802,0.739,0.83,0.875,0.999,0.782,0.987,0.701,0.982,0.949
8,,0.966,0.99,0.963,0.962,0.805,0.998,0.708,0.81,1,0.989,0.817,0.871,0.791,0.743,0.81,0.909,1,0.775,0.99,0.655,0.979,0.958
9,,0.976,0.986,0.974,0.883,0.808,0.999,0.695,0.821,1,0.996,0.887,0.871,0.819,0.723,0.782,0.91,1,0.75,0.988,0.664,0.981,0.957
10,,0.975,0.979,0.975,0.869,0.783,0.999,0.685,0.775,1,0.999,0.858,0.855,0.884,0.75,0.692,0.926,1,0.76,0.986,0.646,0.963,0.968
11,,0.967,0.978,0.978,0.888,0.776,0.997,0.614,0.782,1,1,0.791,0.865,0.937,0.726,0.792,0.94,1,0.725,0.989,0.643,0.976,0.959
12,,0.961,0.969,0.948,0.885,0.764,0.999,0.628,0.808,1,1,0.778,0.856,0.943,0.671,0.798,0.96,0.999,0.75,0.987,0.645,0.989,0.947
13,,0.943,0.948,0.968,0.817,0.794,0.995,0.592,0.844,1,1,0.748,0.859,0.982,0.726,0.794,0.965,0.997,0.752,0.982,0.642,0.998,0.941
14,,0.91,0.96,0.98,0.807,0.778,0.998,0.574,0.814,0.999,0.997,0.743,0.844,0.993,0.84,0.817,0.975,1,0.758,0.945,0.659,0.997,0.94
15,,0.873,0.957,0.971,0.817,0.793,0.996,0.575,0.813,1,1,0.704,0.84,0.996,0.873,0.836,0.99,1,0.739,0.918,0.632,0.996,0.931
16,,0.879,0.947,0.953,0.886,0.775,0.993,0.592,0.83,0.996,0.993,0.707,0.842,1,0.84,0.857,0.997,1,0.838,0.92,0.678,0.999,0.926
17,,0.858,0.925,0.916,0.911,0.769,0.986,0.62,0.806,0.987,0.997,0.667,0.856,1,0.843,0.892,1,1,0.816,0.949,0.63,0.986,0.919
18,,0.872,0.928,0.908,0.973,0.792,0.983,0.589,0.812,0.993,0.989,0.697,0.835,0.999,0.878,0.904,1,1,0.808,0.978,0.748,0.988,0.904
19,,0.906,0.922,0.899,0.98,0.824,0.973,0.626,0.737,0.984,0.969,0.835,0.846,0.999,0.887,0.938,1,1,0.8,0.957,0.776,0.982,0.905
20,,0.899,0.901,0.895,0.992,0.887,0.952,0.604,0.739,0.981,0.984,0.906,0.859,0.999,0.896,0.933,1,0.999,0.809,0.949,0.794,0.974,0.903
21,,0.929,0.892,0.876,0.991,0.922,0.948,0.723,0.722,0.969,0.999,0.919,0.855,0.999,0.9,0.945,1,1,0.821,0.937,0.781,0.977,0.91
22,,0.886,0.867,0.821,0.989,0.933,0.938,0.802,0.761,0.963,0.996,0.912,0.86,1,0.877,0.956,1,0.998,0.781,0.934,0.758,0.967,0.903
23,,0.883,0.854,0.9,0.984,0.977,0.953,0.932,0.794,0.946,0.997,0.981,0.851,0.994,0.884,0.957,1,1,0.763,0.935,0.757,0.974,0.896
24,,0.841,0.79,0.888,0.994,1,0.947,0.99,0.759,0.932,0.995,0.99,0.936,0.997,0.891,0.983,1,1,0.767,0.93,0.732,0.969,0.895
25,,0.79,0.748,0.886,0.999,1,0.958,0.999,0.749,0.919,1,0.974,0.926,0.999,0.895,0.983,0.983,1,0.764,0.926,0.721,0.987,0.886
26,,0.784,0.743,0.894,1,1,0.955,0.999,0.729,0.929,1,0.968,0.925,0.999,0.887,0.995,0.979,1,0.746,0.929,0.693,0.978,0.893
27,,0.788,0.74,0.892,1,1,0.961,1,0.722,0.926,1,0.952,0.945,0.996,0.879,0.995,0.941,0.998,0.744,0.941,0.688,0.974,0.894
28,,0.779,0.711,0.978,1,1,0.964,1,0.713,0.918,1,0.939,0.946,0.998,0.86,0.995,0.867,0.998,0.739,0.942,0.768,0.97,0.89
29,,0.8,0.702,0.985,0.997,1,0.959,0.994,0.721,0.927,1,0.937,0.964,0.987,0.873,0.998,0.802,0.998,0.726,0.943,0.788,0.965,0.886
30,,0.786,0.699,0.988,1,1,0.95,0.975,0.844,0.92,1,0.937,0.969,0.916,0.869,0.999,0.827,0.997,0.72,0.974,0.804,0.973,0.864
31,,0.776,0.668,0.993,1,1,0.949,0.949,0.879,0.908,1,0.905,1,0.889,0.868,0.998,0.802,0.982,0.718,0.991,0.795,0.909,0.837
32,,0.813,0.633,0.989,1,1,0.939,0.929,0.878,0.912,1,0.887,1,0.902,0.859,1,0.757,0.938,0.787,0.996,0.806,0.9,0.832
33,,0.816,0.631,1,0.991,1,0.946,0.868,0.921,0.918,1,0.882,1,0.901,0.865,1,0.782,0.913,0.868,0.984,0.839,0.896,0.827
34,,0.814,0.614,1,0.992,1,0.934,0.792,0.93,0.901,1,0.876,1,0.912,0.868,1,0.802,0.893,0.841,0.998,0.853,0.873,0.809
35,,0.814,0.63,0.993,0.977,1,0.943,0.765,0.927,0.903,1,0.861,1,0.941,0.863,1,0.8,0.883,0.851,0.998,0.859,0.847,0.807
36,,0.782,0.633,0.999,0.963,1,0.943,0.725,0.913,0.905,1,0.821,1,0.973,0.854,1,0.803,0.9,0.87,0.998,0.878,0.829,0.805
37,,0.767,0.652,0.999,0.951,1,0.952,0.784,0.889,0.913,0.999,0.795,0.999,0.992,0.831,1,0.808,0.921,0.845,0.996,0.871,0.831,0.803
38,,0.753,0.638,1,0.961,1,0.95,0.805,0.799,0.932,0.995,0.738,1,0.999,0.841,1,0.808,0.926,0.877,0.996,0.838,0.832,0.805
39,,0.746,0.651,1,0.958,1,0.958,0.787,0.746,0.941,0.995,0.759,1,1,0.82,1,0.806,0.907,0.92,0.992,0.827,0.853,0.794
40,,0.724,0.704,0.998,0.933,1,0.963,0.78,0.747,0.951,0.998,0.701,1,1,0.809,1,0.791,0.9,0.934,0.987,0.805,0.912,0.787
41,,0.696,0.718,0.997,0.931,1,0.972,0.774,0.72,0.999,1,0.72,1,1,0.797,1,0.796,0.879,0.953,0.987,0.835,0.941,0.785
42,,0.689,0.727,0.999,0.943,1,0.968,0.768,0.733,1,1,0.689,0.999,1,0.756,0.999,0.814,0.886,0.968,0.968,0.82,0.93,0.815
43,,0.687,0.678,0.999,0.925,1,0.963,0.755,0.713,1,1,0.685,0.999,1,0.781,0.998,0.79,0.861,0.985,0.95,0.787,0.92,0.817
44,,0.698,0.651,0.996,0.926,0.995,0.963,0.724,0.711,1,1,0.673,0.999,1,0.773,0.999,0.807,0.862,0.972,0.937,0.783,0.92,0.818
45,,0.675,0.653,0.994,0.906,1,0.952,0.709,0.701,1,1,0.649,0.997,1,0.783,0.999,0.784,0.833,0.959,0.934,0.781,0.936,0.816
46,,0.683,0.65,0.986,0.904,0.998,0.959,0.621,0.739,1,1,0.679,0.998,1,0.777,0.999,0.804,0.806,0.967,0.915,0.793,0.927,0.815
47,,0.662,0.651,0.984,0.878,1,0.948,0.656,0.735,1,1,0.663,0.996,0.999,0.772,0.997,0.801,0.787,0.964,0.901,0.773,0.875,0.817
48,,0.663,0.639,0.982,0.882,1,0.942,0.637,0.69,1,1,0.647,0.992,0.998,0.769,0.997,0.829,0.81,0.966,0.895,0.753,0.839,0.805
49,,0.663,0.62,0.981,0.883,1,0.934,0.619,0.701,1,0.993,0.687,0.991,1,0.764,0.986,0.831,0.817,0.953,0.883,0.657,0.823,0.776
50,,0.665,0.637,0.978,0.891,1,0.89,0.582,0.684,1,0.997,0.642,0.991,0.999,0.761,0.984,,0.785,0.917,0.879,0.714,0.749,0.767
51,,0.71,0.662,0.984,0.877,1,0.872,0.597,0.674,1,0.993,0.797,0.984,0.998,0.74,0.967,,0.762,0.892,0.869,0.711,0.759,0.739
52,,0.776,0.682,0.981,0.931,1,0.873,0.591,0.676,1,0.988,0.865,0.972,0.999,0.746,0.979,,0.766,0.844,0.863,0.639,0.708,0.736
53,,0.859,0.647,0.977,1,1,0.884,0.597,0.664,1,0.968,0.886,0.97,1,0.734,0.974,,0.752,0.846,0.85,0.651,0.72,0.734
54,,0.908,0.635,0.973,1,1,0.894,0.6,0.663,0.998,0.946,0.896,0.966,0.997,0.726,0.973,,0.687,0.862,0.842,0.667,0.709,0.728
