doy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,,0.534,0.497,0.517,0.63,0.783,0.692,0.489,0.515,0.667,0.552,0.617,0.58,0.537,0.516,0.762,0.294,0.279,0.619,0.422,0.456,0.746,0.399
2,,0.538,0.483,0.554,0.639,0.751,0.676,0.571,0.53,0.649,0.587,0.624,0.592,0.527,0.56,0.732,0.46,0.285,0.617,0.422,0.462,0.793,0.411
3,,0.514,0.486,0.563,0.619,0.672,0.649,0.596,0.528,0.655,0.643,0.583,0.581,0.56,0.573,0.673,0.47,0.316,0.576,0.404,0.46,0.8,0.434
4,,0.532,0.463,0.571,0.638,0.667,0.645,0.576,0.539,0.684,0.723,0.526,0.6,0.506,0.579,0.566,0.49,0.333,0.562,0.433,0.438,0.833,0.448
5,,0.53,0.49,0.608,0.615,0.659,0.647,0.498,0.544,0.669,0.796,0.507,0.579,0.529,0.621,0.485,0.511,0.38,0.551,0.42,0.466,0.847,0.46
6,,0.531,0.466,0.751,0.606,0.611,0.642,0.498,0.567,0.784,0.933,0.499,0.588,0.516,0.546,0.46,0.568,0.377,0.539,0.44,0.439,0.843,0.487
7,,0.526,0.47,0.848,0.582,0.605,0.641,0.444,0.638,0.884,0.971,0.492,0.588,0.511,0.515,0.454,0.543,0.388,0.533,0.455,0.474,0.815,0.516
8,,0.533,0.454,0.857,0.593,0.593,0.65,0.475,0.511,0.915,0.993,0.437,0.568,0.502,0.494,0.438,0.537,0.435,0.559,0.488,0.433,0.778,0.576
9,,0.572,0.441,0.857,0.612,0.565,0.64,0.436,0.55,0.924,0.999,0.486,0.539,0.521,0.474,0.425,0.529,0.495,0.558,0.518,0.438,0.787,0.601
10,,0.534,0.441,0.834,0.611,0.549,0.623,0.438,0.516,0.883,0.999,0.493,0.555,0.578,0.429,0.396,0.579,0.629,0.522,0.523,0.431,0.807,0.597
11,,0.514,0.44,0.835,0.563,0.532,0.612,0.373,0.578,0.824,0.999,0.535,0.536,0.666,0.455,0.383,0.609,0.675,0.502,0.548,0.425,0.765,0.594
12,,0.51,0.436,0.791,0.559,0.53,0.609,0.372,0.638,0.805,0.99,0.526,0.538,0.667,0.426,0.397,0.587,0.635,0.499,0.516,0.421,0.77,0.605
13,,0.52,0.427,0.769,0.517,0.529,0.594,0.368,0.719,0.745,0.988,0.48,0.537,0.685,0.493,0.42,0.561,0.693,0.497,0.515,0.427,0.745,0.583
14,,0.518,0.439,0.733,0.591,0.506,0.6,0.374,0.666,0.726,0.958,0.49,0.527,0.704,0.538,0.462,0.633,0.735,0.506,0.513,0.446,0.729,0.576
15,,0.468,0.424,0.674,0.567,0.526,0.593,0.375,0.632,0.708,0.911,0.447,0.539,0.763,0.506,0.48,0.675,0.741,0.491,0.488,0.428,0.732,0.557
16,,0.458,0.469,0.65,0.596,0.494,0.618,0.37,0.625,0.684,0.897,0.449,0.522,0.777,0.515,0.557,0.654,0.718,0.533,0.481,0.438,0.714,0.546
17,,0.589,0.48,0.614,0.617,0.493,0.646,0.363,0.564,0.68,0.872,0.421,0.546,0.756,0.542,0.618,0.639,0.711,0.504,0.485,0.478,0.724,0.524
18,,0.69,0.5,0.532,0.641,0.559,0.656,0.363,0.572,0.661,0.835,0.422,0.514,0.752,0.561,0.643,0.637,0.703,0.507,0.489,0.506,0.718,0.515
19,,0.648,0.483,0.57,0.642,0.636,0.681,0.378,0.512,0.647,0.815,0.422,0.517,0.774,0.566,0.723,0.643,0.693,0.491,0.49,0.511,0.684,0.507
20,,0.639,0.467,0.587,0.636,0.633,0.645,0.386,0.525,0.672,0.821,0.408,0.511,0.819,0.568,0.723,0.633,0.685,0.533,0.491,0.486,0.696,0.497
21,,0.589,0.452,0.645,0.634,0.621,0.617,0.457,0.509,0.631,0.818,0.432,0.515,0.749,0.569,0.768,0.604,0.68,0.558,0.487,0.488,0.698,0.501
22,,0.593,0.466,0.594,0.624,0.638,0.596,0.616,0.518,0.663,0.808,0.421,0.509,0.687,0.559,0.753,0.598,0.695,0.525,0.52,0.503,0.771,0.486
23,,0.575,0.499,0.592,0.645,0.694,0.601,0.7,0.502,0.707,0.81,0.438,0.487,0.714,0.55,0.701,0.54,0.656,0.494,0.586,0.502,0.662,0.488
24,,0.548,0.5,0.6,0.652,0.702,0.591,0.75,0.487,0.713,0.81,0.442,0.499,0.697,0.559,0.68,0.534,0.641,0.497,0.605,0.479,0.673,0.469
25,,0.548,0.487,0.601,0.679,0.705,0.599,0.756,0.483,0.742,0.817,0.425,0.483,0.683,0.58,0.635,0.52,0.643,0.518,0.612,0.451,0.708,0.465
26,,0.483,0.492,0.603,0.772,0.697,0.614,0.759,0.483,0.715,0.799,0.418,0.496,0.669,0.553,0.662,0.503,0.647,0.564,0.59,0.465,0.693,0.464
27,,0.505,0.475,0.594,0.827,0.683,0.67,0.739,0.486,0.712,0.819,0.408,0.63,0.664,0.546,0.657,0.485,0.59,0.609,0.675,0.46,0.667,0.464
28,,0.542,0.456,0.618,0.826,0.683,0.687,0.716,0.468,0.686,0.801,0.445,0.739,0.673,0.542,0.644,0.479,0.577,0.559,0.716,0.469,0.649,0.477
29,,0.496,0.422,0.624,0.806,0.696,0.703,0.682,0.465,0.683,0.795,0.469,0.83,0.629,0.635,0.729,0.452,0.553,0.54,0.762,0.476,0.621,0.452
30,,0.49,0.418,0.653,0.829,0.66,0.702,0.649,0.478,0.677,0.797,0.509,0.877,0.598,0.68,0.759,0.472,0.529,0.549,0.834,0.487,0.608,0.452
31,,0.492,0.417,0.672,0.771,0.649,0.695,0.599,0.486,0.681,0.783,0.537,0.974,0.571,0.693,0.765,0.47,0.515,0.529,0.748,0.459,0.569,0.456
32,,0.485,0.383,0.689,0.69,0.621,0.706,0.59,0.532,0.668,0.78,0.498,0.988,0.568,0.7,0.785,0.458,0.504,0.592,0.758,0.47,0.554,0.461
33,,0.475,0.37,0.704,0.625,0.607,0.648,0.548,0.612,0.666,0.795,0.48,0.982,0.576,0.717,0.78,0.466,0.473,0.565,0.74,0.467,0.551,0.446
34,,0.478,0.38,0.722,0.589,0.587,0.652,0.503,0.591,0.679,0.773,0.441,0.98,0.574,0.733,0.814,0.513,0.492,0.564,0.74,0.458,0.514,0.434
35,,0.465,0.357,0.745,0.573,0.574,0.64,0.493,0.638,0.66,0.766,0.407,0.98,0.586,0.703,0.864,0.511,0.545,0.551,0.725,0.479,0.54,0.423
36,,0.439,0.442,0.768,0.559,0.566,0.63,0.428,0.683,0.661,0.773,0.408,0.964,0.568,0.713,0.878,0.481,0.562,0.558,0.7,0.496,0.527,0.414
37,,0.458,0.468,0.779,0.539,0.557,0.6,0.491,0.643,0.649,0.777,0.392,0.953,0.639,0.708,0.901,0.459,0.557,0.546,0.673,0.481,0.51,0.416
38,,0.456,0.499,0.745,0.536,0.552,0.585,0.512,0.575,0.652,0.757,0.391,0.925,0.708,0.688,0.909,0.48,0.549,0.546,0.669,0.464,0.52,0.405
39,,0.457,0.477,0.725,0.513,0.531,0.585,0.504,0.529,0.707,0.746,0.405,0.928,0.696,0.684,0.864,0.494,0.547,0.539,0.649,0.463,0.507,0.402
40,,0.496,0.463,0.712,0.49,0.527,0.571,0.514,0.525,0.685,0.781,0.378,0.889,0.671,0.608,0.832,0.505,0.554,0.541,0.64,0.431,0.555,0.379
41,,0.465,0.443,0.706,0.499,0.514,0.553,0.491,0.493,0.655,0.801,0.39,0.879,0.835,0.63,0.8,0.509,0.559,0.549,0.627,0.431,0.58,0.382
